date,pair,signal
14/06/2025,AUDJPY,53
14/06/2025,GBPUSD,62
14/06/2025,CADCHF,70
14/06/2025,GBPJPY,-64
14/06/2025,AUDCHF,31
14/06/2025,USDJPY,-67
14/06/2025,AUDUSD,20
14/06/2025,EURUSD,-64
14/06/2025,CHFJPY,100
14/06/2025,GBPNZD,-67
14/06/2025,USDCHF,136
14/06/2025,AUDJPY,-65
14/06/2025,GBPCAD,57
21/06/2025,CADCHF,31
21/06/2025,GBPAUD,81
21/06/2025,GBPJPY,-65
21/06/2025,EURCAD,44
21/06/2025,EURGBP,33
21/06/2025,GBPUSD,-65
21/06/2025,EURUSD,31
21/06/2025,AUDJPY,43
21/06/2025,EURAUD,-67
21/06/2025,GBPJPY,71
21/06/2025,NZDCHF,20
21/06/2025,USDJPY,-64
21/06/2025,GBPCHF,15
28/06/2025,AUDUSD,37
28/06/2025,GBPUSD,55
28/06/2025,EURJPY,-67
28/06/2025,USDCAD,67
28/06/2025,GBPUSD,44
28/06/2025,GBPAUD,-65
28/06/2025,CADCHF,60
28/06/2025,GBPJPY,56
28/06/2025,USDCAD,-65
28/06/2025,EURJPY,80
28/06/2025,EURCAD,-65
